Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Unique identifier (Latin script),Normalized CSV-like identifier; suffix affinity (lat: suffīxum),HXL Standard attribute,Significātum in Lingua Latina,Wikidata QID; language,Wikidata Q Code for writting system,Wikidata Language ID,Glottocode Langoid,Glottolog IRI,ISO 639-3 a3,ISO 639-3 a3 IRI,Cōdex factō,Cōdex factō; meta
112,60,19,fin-Latn,__i_fin__is_latn,+i_fin+is_latn,Lingua Finnica (Abecedarium Latinum),Q1412,Q8229,fi,finn1318,https://glottolog.org/resource/languoid/id/finn1318,fin,https://iso639-3.sil.org/code/fin,,
113,60,19,ron-Latn,__i_ron__is_latn,+i_ron+is_latn,Lingua Dacoromanica (Abecedarium Latinum),Q7913,Q8229,ro,roma1327,https://glottolog.org/resource/languoid/id/roma1327,ron,https://iso639-3.sil.org/code/ron,,
114,60,19,vie-Latn,__i_vie__is_latn,+i_vie+is_latn,Lingua Vietnamensis (Abecedarium Latinum),Q9199,Q9199,vi,viet1252,https://glottolog.org/resource/languoid/id/viet1252,vie,https://iso639-3.sil.org/code/vie,,
115,60,19,cat-Latn,__i_cat__is_latn,+i_cat+is_latn,Lingua Catalana (Abecedarium Latinum),Q7026,Q8229,ca,stan1289,https://glottolog.org/resource/languoid/id/stan1289,cat,https://iso639-3.sil.org/code/cat,,
116,60,19,ukr-Cyrl,__i_ukr__is_cyrl,+i_ukr+is_cyrl,Lingua Ucrainica (Abecedarium Cyrillicum),Q8798,Q8209,uk,ukra1253,https://glottolog.org/resource/languoid/id/ukra1253,ukr,https://iso639-3.sil.org/code/ukr,,
117,60,19,bul-Cyrl,__i_bul__is_cyrl,+i_bul+is_cyrl,Lingua Bulgarica (Abecedarium Cyrillicum),Q7918,Q8209,bg,bulg1262,https://glottolog.org/resource/languoid/id/bulg1262,bul,https://iso639-3.sil.org/code/bul,,
118,60,19,slv-Latn,__i_slv__is_latn,+i_slv+is_latn,Lingua Slovena (Abecedarium Latinum),Q9063,Q8229,sl,slov1268,https://glottolog.org/resource/languoid/id/slov1268,slv,https://iso639-3.sil.org/code/slv,,
119,60,19,war-Latn,__i_war__is_latn,+i_war+is_latn,/Waray language/ (Abecedarium Latinum),Q34279,Q8229,war,wara1300,https://glottolog.org/resource/languoid/id/wara1300,war,https://iso639-3.sil.org/code/war,,
120,60,19,nob-Latn,__i_nob__is_latn,+i_nob+is_latn,/Bokmål/ (Abecedarium Latinum),Q25167,Q8229,nb,norw1259,https://glottolog.org/resource/languoid/id/norw1259,nob,https://iso639-3.sil.org/code/nob,,
121,60,19,ces-Latn,__i_ces__is_latn,+i_ces+is_latn,Lingua Bohemica (Abecedarium Latinum),Q9056,Q8229,cs,czec1258,https://glottolog.org/resource/languoid/id/czec1258,ces,https://iso639-3.sil.org/code/ces,,
122,60,19,dan-Latn,__i_dan__is_latn,+i_dan+is_latn,Lingua Danica (Abecedarium Latinum),Q9035,Q8229,da,dani1285,https://glottolog.org/resource/languoid/id/dani1285,dan,https://iso639-3.sil.org/code/dan,,
123,25,11,jpn-Jpan,__i_jpn__is_jpan,+i_jpn+is_jpan,Lingua Iaponica (Scriptura Iaponica),Q5287,Q190502,ja,nucl1643,https://glottolog.org/resource/languoid/id/nucl1643,jpn,https://iso639-3.sil.org/code/jpn,,
124,60,19,nno-Latn,__i_nno__is_latn,+i_nno+is_latn,/Nynorsk/ (Abecedarium Latinum),Q25164,Q8229,nn,norw1262,https://glottolog.org/resource/languoid/id/norw1262,nno,https://iso639-3.sil.org/code/nno,,
125,60,19,mal-Mlym,__i_mal__is_mlym,+i_mal+is_mlym,Lingua Malabarica (/Malayalam script/),Q36236,Q1164129,ml,mala1464,https://glottolog.org/resource/languoid/id/mala1464,mal,https://iso639-3.sil.org/code/mal,,
126,60,19,ind-Latn,__i_ind__is_latn,+i_ind+is_latn,Lingua Indonesiana (Abecedarium Latinum),Q9240,Q8229,id,indo1316,https://glottolog.org/resource/languoid/id/indo1316,ind,https://iso639-3.sil.org/code/ind,,
127,25,11,fas-Zzzz,__i_fas__is_zzzz,+i_fas+is_zzzz,Macrolingua Persica (//Abecedarium Arabicum//),Q9168,,fa,,,fas,https://iso639-3.sil.org/code/fas,,
128,60,19,hun-Latn,__i_hun__is_latn,+i_hun+is_latn,Lingua Hungarica (Abecedarium Latinum),Q9067,Q8229,hu,hung1274,https://glottolog.org/resource/languoid/id/hung1274,hun,https://iso639-3.sil.org/code/hun,,
129,60,19,eus-Latn,__i_eus__is_latn,+i_eus+is_latn,Lingua Vasconica (Abecedarium Latinum),Q8752,Q8229,eu,basq1248,https://glottolog.org/resource/languoid/id/basq1248,eus,https://iso639-3.sil.org/code/eus,,
130,60,19,cym-Latn,__i_cym__is_latn,+i_cym+is_latn,Lingua Cambrica (Abecedarium Latinum),Q9309,Q8229,cy,wels1247,https://glottolog.org/resource/languoid/id/wels1247,cym,https://iso639-3.sil.org/code/cym,,
131,60,19,glg-Latn,__i_glg__is_latn,+i_glg+is_latn,Lingua Gallaica (Abecedarium Latinum),Q9307,Q8229,gl,gali1258,https://glottolog.org/resource/languoid/id/gali1258,glg,https://iso639-3.sil.org/code/glg,,
132,60,19,slk-Latn,__i_slk__is_latn,+i_slk+is_latn,Lingua Slovaca (Abecedarium Latinum),Q9058,Q8229,sk,slov1269,https://glottolog.org/resource/languoid/id/slov1269,slk,https://iso639-3.sil.org/code/slk,,
133,60,19,epo-Latn,__i_epo__is_latn,+i_epo+is_latn,Lingua Esperantica (Abecedarium Latinum),Q143,Q8229,eo,espe1235,https://glottolog.org/resource/languoid/id/espe1235,epo,https://iso639-3.sil.org/code/epo,,
134,25,11,msa-Zzzz,__i_msa__is_zzzz,+i_msa+is_zzzz,Macrolingua Malayana (?),Q9237,,ms,,,msa,https://iso639-3.sil.org/code/msa,,
135,25,11,est-Latn,__i_est__is_latn,+i_est+is_latn,Macrolingua Estonica (Abecedarium Latinum),Q9072,Q8229,et,,,est,https://iso639-3.sil.org/code/est,,
136,60,19,hrv-Latn,__i_hrv__is_latn,+i_hrv+is_latn,Lingua Croatica (Abecedarium Latinum),Q6654,Q8229,hr,croa1245,https://glottolog.org/resource/languoid/id/croa1245,hrv,https://iso639-3.sil.org/code/hrv,,
137,60,19,tur-Latn,__i_tur__is_latn,+i_tur+is_latn,Lingua Turcica (Abecedarium Latinum),Q256,Q8229,tr,nucl1301,https://glottolog.org/resource/languoid/id/nucl1301,tur,https://iso639-3.sil.org/code/tur,,
138,60,19,nds-Latn,__i_nds__is_latn,+i_nds+is_latn,Lingua Saxonica (Abecedarium Latinum),Q25433,Q8229,nds,lowg1239,https://glottolog.org/resource/languoid/id/lowg1239,nds,https://iso639-3.sil.org/code/nds,,
139,60,19,oci-Latn,__i_oci__is_latn,+i_oci+is_latn,Lingua Occitana (Abecedarium Latinum),Q14185,Q8229,oc,occi1239,https://glottolog.org/resource/languoid/id/occi1239,oci,https://iso639-3.sil.org/code/oci,,
140,11,11,zho-Hans,__i_zho__is_hans,+i_zho+is_hans,//Simplified Chinese// (/ISO 15924 Hans/),Q13414913,,zh-Hans,,,zho,https://iso639-3.sil.org/code/zho,,
141,60,19,bre-Latn,__i_bre__is_latn,+i_bre+is_latn,Lingua Britonica (Abecedarium Latinum),Q12107,Q8229,br,bret1244,https://glottolog.org/resource/languoid/id/bret1244,bre,https://iso639-3.sil.org/code/bre,,
142,60,19,arz-Latn,__i_arz__is_latn,+i_arz+is_latn,/Egyptian Arabic/ (/Abecedarium Arabicum/),Q29919,Q8196,arz,egyp1253,https://glottolog.org/resource/languoid/id/egyp1253,arz,https://iso639-3.sil.org/code/arz,,
143,60,19,afr-Latn,__i_afr__is_latn,+i_afr+is_latn,Lingua Batava Capitensis (Abecedarium Latinum),Q14196,Q8229,af,afri1274,https://glottolog.org/resource/languoid/id/afri1274,afr,https://iso639-3.sil.org/code/afr,,
144,60,19,ltz-Latn,__i_ltz__is_latn,+i_ltz+is_latn,Lingua Luxemburgensis (Abecedarium Latinum),Q9051,Q8229,lb,luxe1241,https://glottolog.org/resource/languoid/id/luxe1241,ltz,https://iso639-3.sil.org/code/ltz,,
145,60,19,sco-Latn,__i_sco__is_latn,+i_sco+is_latn,Lingua Scotica quae Teutonica (Abecedarium Latinum),Q14549,Q8229,sco,scot1243,https://glottolog.org/resource/languoid/id/scot1243,sco,https://iso639-3.sil.org/code/sco,,
146,60,19,bar-Latn,__i_bar__is_latn,+i_bar+is_latn,Lingua Bavarica (Abecedarium Latinum),Q29540,Q8229,bar,bava1246,https://glottolog.org/resource/languoid/id/bava1246,bar,https://iso639-3.sil.org/code/bar,,
147,60,19,arg-Latn,__i_arg__is_latn,+i_arg+is_latn,Lingua Aragonensis (Abecedarium Latinum),Q8765,Q8229,an,arag1245,https://glottolog.org/resource/languoid/id/arag1245,arg,https://iso639-3.sil.org/code/arg,,
148,11,11,zho-Hant,__i_zho__is_hant,+i_zho+is_hant,//Traditional Chinese// (/ISO 15924 Hant/),Q18130932,,zh-hant,,,zho,https://iso639-3.sil.org/code/zho,,
149,60,19,pap-Latn,__i_pap__is_latn,+i_pap+is_latn,/lingua Papiamentica/ (Abecedarium Latinum),Q33856,Q8229,pap,papi1253,https://glottolog.org/resource/languoid/id/papi1253,pap,https://iso639-3.sil.org/code/pap,,
150,60,19,cos-Latn,__i_cos__is_latn,+i_cos+is_latn,Lingua Corsica (Abecedarium Latinum),Q33111,Q8229,co,cors1241,https://glottolog.org/resource/languoid/id/cors1241,cos,https://iso639-3.sil.org/code/cos,,
152,11,11,gsw-Latn,__i_gsw__is_latn,+i_gsw+is_latn,Dialecti Alemannicae (Abecedarium Latinum),Q131339,Q8229,gsw,swis1247,https://glottolog.org/resource/languoid/id/swis1247,gsw,https://iso639-3.sil.org/code/gsw,,
153,5,5,,,,/Swiss Standard German/ (Abecedarium Latinum),Q1366643,Q8229,,,,,,,
154,60,19,isl-Latn,__i_isl__is_latn,+i_isl+is_latn,Lingua Islandica,Q294,Q8229,is,icel1247,https://glottolog.org/resource/languoid/id/icel1247,isl,https://iso639-3.sil.org/code/isl,,
155,5,5,,,,/Austrian German/ (Abecedarium Latinum),Q306626,,,,,,,,
156,40,19,min-Latn,__i_min__is_latn,+i_min+is_latn,/Minangkabau language/ (Abecedarium Latinum),Q13324,Q8229,min,mina1268,https://glottolog.org/resource/languoid/id/mina1268,min,https://iso639-3.sil.org/code/min,,
157,60,19,roh-Latn,__i_roh__is_latn,+i_roh+is_latn,Lingua Rhaetica (Abecedarium Latinum),Q13199,Q8229,rm,roma1326,https://glottolog.org/resource/languoid/id/roma1326,roh,https://iso639-3.sil.org/code/roh,,
158,5,5,,,,/Dutch Low Saxon/ (Abecedarium Latinum),Q516137,,,,,,,,
159,60,19,vec-Latn,__i_vec__is_latn,+i_vec+is_latn,Lingua Veneta (Abecedarium Latinum),Q32724,Q8229,vec,vene1258,https://glottolog.org/resource/languoid/id/vene1258,vec,https://iso639-3.sil.org/code/vec,,
160,60,19,pms-Latn,__i_pms__is_latn,+i_pms+is_latn,Lingua Pedemontana (Abecedarium Latinum),Q15085,Q8229,pms,piem1238,https://glottolog.org/resource/languoid/id/piem1238,pms,https://iso639-3.sil.org/code/pms,,
161,60,19,scn-Latn,__i_scn__is_latn,+i_scn+is_latn,Lingua Sicula (Abecedarium Latinum),Q33973,Q8229,scn,sici1248,https://glottolog.org/resource/languoid/id/sici1248,scn,https://iso639-3.sil.org/code/scn,,
162,60,19,srd-Latn,__i_srd__is_latn,+i_srd+is_latn,Macrolingua Sarda (Abecedarium Latinum),Q33976,Q8229,sc,,,srd,https://iso639-3.sil.org/code/srd,,
163,60,19,gla-Latn,__i_gla__is_latn,+i_gla+is_latn,Lingua Scotica seu Scotica Gadelica (Abecedarium Latinum),Q9314,Q8229,gd,scot1245,https://glottolog.org/resource/languoid/id/scot1245,gla,https://iso639-3.sil.org/code/gla,,
164,60,19,lim-Latn,__i_lim__is_latn,+i_lim+is_latn,Lingua Limburgica (Abecedarium Latinum),Q102172,Q8229,li,limb1263,https://glottolog.org/resource/languoid/id/limb1263,lim,https://iso639-3.sil.org/code/lim,,
165,60,19,wln-Latn,__i_wln__is_latn,+i_wln+is_latn,Lingua Vallonica,Q34219,Q8229,wa,wall1255,https://glottolog.org/resource/languoid/id/wall1255,wln,https://iso639-3.sil.org/code/wln,,
166,60,19,srp-Latn,__i_srp__is_latn,+i_srp+is_latn,/Serbian/ (Abecedarium Latinum),Q21161949,Q8229,sr-el,serb1264,https://glottolog.org/resource/languoid/id/serb1264,srp,https://iso639-3.sil.org/code/srp,,
167,60,19,vls-Latn,__i_vls__is_latn,+i_vls+is_latn,/West Flemish/ (Abecedarium Latinum),Q100103,Q8229,vls,vlaa1240,https://glottolog.org/resource/languoid/id/vlaa1240,vls,https://iso639-3.sil.org/code/vls,,
168,60,19,nap-Latn,__i_nap__is_latn,+i_nap+is_latn,Lingua Neapolitana (Abecedarium Latinum),Q33845,Q8229,nap,neap1235,https://glottolog.org/resource/languoid/id/neap1235,nap,https://iso639-3.sil.org/code/nap,,
169,60,19,lij-Latn,__i_lij__is_latn,+i_lij+is_latn,Lingua Ligustica (Abecedarium Latinum),Q36106,Q8229,lij,ligu1248,https://glottolog.org/resource/languoid/id/ligu1248,lij,https://iso639-3.sil.org/code/lij,,
170,60,19,fur-Latn,__i_fur__is_latn,+i_fur+is_latn,Lingua Foroiuliensis (Abecedarium Latinum),Q33441,Q8229,fur,friu1240,https://glottolog.org/resource/languoid/id/friu1240,fur,https://iso639-3.sil.org/code/fur,,
171,60,19,pcd-Latn,__i_pcd__is_latn,+i_pcd+is_latn,Lingua Picardica (Abecedarium Latinum),Q34024,Q8229,pcd,pica1241,https://glottolog.org/resource/languoid/id/pica1241,pcd,https://iso639-3.sil.org/code/pcd,,
172,60,19,wol-Latn,__i_wol__is_latn,+i_wol+is_latn,/Wolof language/ (Abecedarium Latinum),Q34257,Q8229,wo,nucl1347,https://glottolog.org/resource/languoid/id/nucl1347,wol,https://iso639-3.sil.org/code/wol,,
173,60,19,kon-Latn,__i_kon__is_latn,+i_kon+is_latn,/Kongo macrolanguage/ (Abecedarium Latinum),Q33702,Q8229,kg,,,kon,https://iso639-3.sil.org/code/kon,,
174,60,19,frp-Latn,__i_frp__is_latn,+i_frp+is_latn,Lingua Arpitanica,Q15087,Q8229,frp,fran1260,https://glottolog.org/resource/languoid/id/fran1260,frp,https://iso639-3.sil.org/code/frp,,
175,5,5,,,,//Putonghua// (?),Q24841726,,,,,,,,
176,11,11,wuu-Zyyy,__i_wuu__is_zyyy,+i_wuu+is_zyyy,//Macrolingua Wu// (/ISO 15924 Zyyy/),Q34290,,wuu,wuch1236,https://glottolog.org/resource/languoid/id/wuch1236,wuu,https://iso639-3.sil.org/code/wuu,,
177,60,19,srp-Cyrl,__i_srp__is_cyrl,+i_srp+is_cyrl,Lingua Serbica (Abecedarium Cyrillicum),Q9299,Q8209,sr,serb1264,https://glottolog.org/resource/languoid/id/serb1264,srp,https://iso639-3.sil.org/code/srp,,
178,5,5,,,,/Singaporean Mandarin/ (/ISO 15924 Zyyy/),,,,,,,,,
179,60,19,urd-Arab,__i_urd__is_arab,+i_urd+is_arab,Lingua Urdu (/Abecedarium Arabicum/),Q1617,Q8196,ur,urdu1245,https://glottolog.org/resource/languoid/id/urdu1245,urd,https://iso639-3.sil.org/code/urd,,
180,5,5,,,,/Malaysian Mandarin/ (/ISO 15924 Zyyy/),,,,,,,,,
181,11,11,gan-Zyyy,__i_gan__is_zyyy,+i_gan+is_zyyy,Lingua Gan (/ISO 15924 Zyyy/),Q33475,,gan,ganc1239,https://glottolog.org/resource/languoid/id/ganc1239,gan,https://iso639-3.sil.org/code/gan,,
182,60,19,lit-Latn,__i_lit__is_latn,+i_lit+is_latn,Lingua Lithuanica (Abecedarium Latinum),Q9083,Q8229,lt,lith1251,https://glottolog.org/resource/languoid/id/lith1251,lit,https://iso639-3.sil.org/code/lit,,
183,60,19,gan-Hans,__i_gan__is_hans,+i_gan+is_hans,Lingua Gan (/ISO 15924 Hans/),Q64427344,,gan-hans	,ganc1239,https://glottolog.org/resource/languoid/id/ganc1239,gan,https://iso639-3.sil.org/code/gan,,
184,60,19,hbs-Latn,__i_hbs__is_latn,+i_hbs+is_latn,Macrolingua Serbocroatica (Abecedarium Latinum),Q9301,Q8229,sh,sout1528,https://glottolog.org/resource/languoid/id/sout1528,hbs,https://iso639-3.sil.org/code/hbs,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
300,60,19,vol-Latn,__i_vol__is_latn,+i_vol+is_latn,Volapük (Abecedarium Latinum),Q36986,Q8229,vo,vola1234,https://glottolog.org/resource/languoid/id/vola1234,vol,https://iso639-3.sil.org/code/vol,,
301,60,19,ina-Latn,__i_ina__is_latn,+i_ina+is_latn,Interlingua (Abecedarium Latinum),Q35934,Q8229,ia,inte1239,https://glottolog.org/resource/languoid/id/inte1239,ina,https://iso639-3.sil.org/code/ina,,
302,60,19,ile-Latn,__i_ile__is_latn,+i_ile+is_latn,Lingua Occidental (Abecedarium Latinum),Q35850,Q8229,ie,inte1260,https://glottolog.org/resource/languoid/id/inte1260,ile,https://iso639-3.sil.org/code/ile,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
399,60,19,zul-Latn,__i_zul__is_latn,+i_zul+is_latn,Lingua Zuluana (Abecedarium Latinum),Q10179,Q8229,zu,zulu1248,https://glottolog.org/resource/languoid/id/zulu1248,zul,https://iso639-3.sil.org/code/zul,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400,25,11,mul-Zxxx,__i_mul__is_zxxx,+i_mul+is_zxxx,/multiple languages/ (?),Q20923490,,mul,,,mul,https://iso639-3.sil.org/code/mul,,
401,25,11,und-Zxxx,__i_und__is_zxxx,+i_und+is_zxxx,/undetermined language/ (?),Q22282914,,und,,,und,https://iso639-3.sil.org/code/und,,
402,25,11,zxx-Zxxx,__i_zxx__is_zxxx,+i_zxx+is_zxxx,/no linguistic content/ (?),Q22282939,,zxx,,,zxx,https://iso639-3.sil.org/code/zxx,,
