#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_swa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_swa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_swa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_swa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:834:1:11,11,1603:45:16:834:0,1603:45:16:834:1:11,Iringa,,TZ11,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:12,12,1603:45:16:834:0,1603:45:16:834:1:12,Mbeya,,TZ12,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:13,13,1603:45:16:834:0,1603:45:16:834:1:13,Singida,,TZ13,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:14,14,1603:45:16:834:0,1603:45:16:834:1:14,Tabora,,TZ14,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:15,15,1603:45:16:834:0,1603:45:16:834:1:15,Rukwa,,TZ15,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:16,16,1603:45:16:834:0,1603:45:16:834:1:16,Kigoma,,TZ16,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:17,17,1603:45:16:834:0,1603:45:16:834:1:17,Shinyanga,,TZ17,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:18,18,1603:45:16:834:0,1603:45:16:834:1:18,Kagera,,TZ18,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:19,19,1603:45:16:834:0,1603:45:16:834:1:19,Mwanza,,TZ19,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:20,20,1603:45:16:834:0,1603:45:16:834:1:20,Mara,,TZ20,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:21,21,1603:45:16:834:0,1603:45:16:834:1:21,Manyara,,TZ21,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:22,22,1603:45:16:834:0,1603:45:16:834:1:22,Njombe,,TZ22,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:23,23,1603:45:16:834:0,1603:45:16:834:1:23,Katavi,,TZ23,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:24,24,1603:45:16:834:0,1603:45:16:834:1:24,Simiyu,,TZ24,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:25,25,1603:45:16:834:0,1603:45:16:834:1:25,Geita,,TZ25,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:26,26,1603:45:16:834:0,1603:45:16:834:1:26,Songwe,,TZ26,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:51,51,1603:45:16:834:0,1603:45:16:834:1:51,Kaskazini Unguja,,TZ51,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:52,52,1603:45:16:834:0,1603:45:16:834:1:52,Kusini Unguja,,TZ52,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:53,53,1603:45:16:834:0,1603:45:16:834:1:53,Mjini Magharibi,,TZ53,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:54,54,1603:45:16:834:0,1603:45:16:834:1:54,Kaskazini Pemba,,TZ54,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:1:55,55,1603:45:16:834:0,1603:45:16:834:1:55,Kusini Pemba,,TZ55,,,,,,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
