#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_tur+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tur+is_latn,#adm1+name+alt2+i_tur+is_latn,#country+name+i_eng+is_latn,#country+name+i_tur+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:792:1:14,14,Bolu,Bolu,TR014,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:15,15,Burdur,Burdur,TR015,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:16,16,Bursa,Bursa,TR016,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:17,17,Canakkale,Çanakkale,TR017,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:18,18,Cankiri,Çankiri,TR018,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:19,19,Corum,Çorum,TR019,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:20,20,Denizli,Denizli,TR020,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:21,21,Diyarbakir,Diyarbakir,TR021,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:22,22,Edirne,Edirne,TR022,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:23,23,Elazig,Elaziğ,TR023,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:24,24,Erzincan,Erzincan,TR024,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:25,25,Erzurum,Erzurum,TR025,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:26,26,Eskisehir,Eskişehir,TR026,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:27,27,Gaziantep,Gaziantep,TR027,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:28,28,Giresun,Giresun,TR028,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:29,29,Gumushane,Gümüşhane,TR029,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:30,30,Hakkari,Hakkari,TR030,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:31,31,Hatay,Hatay,TR031,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:32,32,Isparta,Isparta,TR032,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:33,33,Mersin,Mersin,TR033,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:34,34,Istanbul,Istanbul,TR034,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:35,35,Izmir,Izmir,TR035,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:36,36,Kars,Kars,TR036,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:37,37,Kastamonu,Kastamonu,TR037,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:38,38,Kayseri,Kayseri,TR038,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:39,39,Kirklareli,Kirklareli,TR039,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:40,40,Kirsehir,Kirşehir,TR040,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:41,41,Kocaeli,Kocaeli,TR041,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:42,42,Konya,Konya,TR042,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:43,43,Kutahya,Kütahya,TR043,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:44,44,Malatya,Malatya,TR044,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:45,45,Manisa,Manisa,TR045,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:46,46,Kahramanmaras,Kahramanmaraş,TR046,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:47,47,Mardin,Mardin,TR047,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:48,48,Mugla,Muğla,TR048,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:49,49,Mus,Muş,TR049,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:50,50,Nevsehir,Nevşehir,TR050,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:51,51,Nigde,Niğde,TR051,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:52,52,Ordu,Ordu,TR052,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:53,53,Rize,Rize,TR053,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:54,54,Sakarya,Sakarya,TR054,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:55,55,Samsun,Samsun,TR055,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:56,56,Siirt,Siirt,TR056,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:57,57,Sinop,Sinop,TR057,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:58,58,Sivas,Sivas,TR058,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:59,59,Tekirdag,Tekirdağ,TR059,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:60,60,Tokat,Tokat,TR060,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:61,61,Trabzon,Trabzon,TR061,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:62,62,Tunceli,Tunceli,TR062,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:63,63,Sanliurfa,Şanliurfa,TR063,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:64,64,Usak,Uşak,TR064,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:65,65,Van,Van,TR065,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:66,66,Yozgat,Yozgat,TR066,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:67,67,Zonguldak,Zonguldak,TR067,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:68,68,Aksaray,Aksaray,TR068,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:69,69,Bayburt,Bayburt,TR069,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:70,70,Karaman,Karaman,TR070,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:71,71,Kirikkale,Kirikkale,TR071,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:72,72,Batman,Batman,TR072,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:73,73,Sirnak,Şirnak,TR073,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:74,74,Bartin,Bartin,TR074,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:75,75,Ardahan,Ardahan,TR075,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:76,76,Igdir,Iğdir,TR076,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:77,77,Yalova,Yalova,TR077,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:78,78,Karabuk,Karabük,TR078,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:79,79,Kilis,Kilis,TR079,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:80,80,Osmaniye,Osmaniye,TR080,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:1:81,81,Duzce,Düzce,TR081,,,,,,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
